""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2017"
"Amounts in $ billion"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","6.2","a","7.9","a","14.2","a","215.1","a","1.7","a","4.9","e"
"Alaska","1.4","a","1.9","a","3.3","a","53.1","a","-0.2","a","0.7","e"
"Arizona","5.7","a","9.6","a","15.3","a","330.4","a","3.8","a","7.0","e"
"Arkansas","3.2","a","5.2","a","8.4","a","122.4","a","1.0","a","3.0","e"
"California","36.0","a","96.8","a","132.8","a","2,731.0","a","4.7","a","39.3","e"
"Colorado","7.2","a","10.5","a","17.7","a","348.9","a","3.5","a","5.6","e"
"Connecticut","4.1","a","9.5","a","13.6","a","271.6","a","1.7","a","3.6","e"
"Delaware","1.9","a","2.1","a","4.0","a","68.8","a","-3.5","a","1.0","e"
"District of Columbia","0.0","a","3.0","a","3.0","a","133.4","a","1.0","a","0.7","e"
"Florida","11.3","a","32.0","a","43.4","a","1,002.6","a","3.6","a","21.0","e"
"Georgia","8.2","a","20.0","a","28.3","a","574.4","a","3.6","a","10.4","e"
"Hawaii","3.4","a","0.0","a","3.4","a","87.2","a","2.1","a","1.4","e"
"Idaho","1.2","a","2.4","a","3.6","a","71.7","a","2.3","a","1.7","e"
"Illinois","8.5","a","30.1","a","38.6","a","827.1","a","0.8","a","12.8","e"
"Indiana","7.6","a","10.6","a","18.2","a","353.2","a","2.0","a","6.7","e"
"Iowa","3.4","a","7.8","a","11.2","a","183.6","a","-0.1","a","3.1","e"
"Kansas","3.0","a","6.9","a","9.9","a","164.9","a","1.1","a","2.9","e"
"Kentucky","6.3","a","6.8","a","13.1","a","201.6","a","1.0","a","4.5","e"
"Louisiana","4.3","a","8.3","a","12.5","a","241.7","a","2.3","a","4.7","e"
"Maine","1.0","a","2.6","a","3.6","a","62.4","a","2.0","a","1.3","e"
"Maryland","5.7","a","15.3","a","21.0","a","400.4","a","1.8","a","6.0","e"
"Massachusetts","7.2","a","16.3","a","23.5","a","532.4","a","1.9","a","6.9","e"
"Michigan","11.7","a","19.4","a","31.1","a","501.8","a","1.2","a","10.0","e"
"Minnesota","6.7","a","13.3","a","20.0","a","354.7","a","1.4","a","5.6","e"
"Mississippi","2.8","a","5.4","a","8.2","a","110.0","a","0.4","a","3.0","e"
"Missouri","4.2","a","11.4","a","15.6","a","308.7","a","1.1","a","6.1","e"
"Montana","1.0","a","1.9","a","3.0","a","48.4","a","3.3","a","1.1","e"
"Nebraska","2.2","a","5.2","a","7.4","a","121.9","a","1.7","a","1.9","e"
"Nevada","2.1","a","4.7","a","6.8","a","160.8","a","4.0","a","3.0","e"
"New Hampshire","1.2","a","3.0","a","4.2","a","80.7","a","0.7","a","1.4","e"
"New Jersey","11.0","a","26.2","a","37.3","a","586.4","a","0.4","a","8.9","e"
"New Mexico","2.7","a","4.1","a","6.9","a","92.3","a","-0.1","a","2.1","e"
"New York","12.8","a","73.5","a","86.3","a","1,603.9","a","1.2","a","19.6","e"
"North Carolina","10.6","a","16.8","a","27.4","a","549.7","a","2.8","a","10.3","e"
"North Dakota","1.2","a","1.8","a","3.1","a","55.2","a","2.1","a","0.8","e"
"Ohio","10.6","a","25.8","a","36.4","a","641.7","a","1.2","a","11.7","e"
"Oklahoma","4.7","a","5.9","a","10.6","a","190.7","a","0.6","a","3.9","e"
"Oregon","5.0","a","8.9","a","13.9","a","222.6","a","3.9","a","4.1","e"
"Pennsylvania","12.7","a","30.9","a","43.6","a","745.0","a","0.9","a","12.8","e"
"Rhode Island","1.0","a","2.5","a","3.5","a","57.9","a","-0.6","a","1.1","e"
"South Carolina","6.1","a","9.2","a","15.2","a","223.0","a","2.3","a","5.0","e"
"South Dakota","0.8","a","1.6","a","2.5","a","50.3","a","-0.4","a","0.9","e"
"Tennessee","4.9","a","9.8","a","14.7","a","349.8","a","2.7","a","6.7","e"
"Texas","28.2","a","61.9","a","90.1","a","1,677.1","a","2.7","a","28.3","e"
"All states combined","313.7","a","709.0","a","1,022.7","a","19,477.3","a","2.2","a","325.1","e"
"Utah","4.8","a","5.2","a","10.1","a","168.1","a","4.3","a","3.1","e"
"Vermont","1.2","a","1.7","a","2.9","a","32.2","a","0.3","a","0.6","e"
"Virginia","9.1","a","18.2","a","27.3","a","509.9","a","1.5","a","8.5","e"
"Washington","8.9","a","16.2","a","25.0","a","519.9","a","5.4","a","7.4","e"
"West Virginia","2.3","a","3.2","a","5.4","a","74.8","a","2.1","a","1.8","e"
"Wisconsin","5.5","a","13.1","a","18.6","a","318.4","a","0.1","a","5.8","e"
"Wyoming","0.9","a","2.2","a","3.1","a","36.9","a","-2.0","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
