""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2019"
"Amounts in $ billion"
"Welfare"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1.2","a","0.5","a","1.7","a","231.2","a","1.3","a","4.9","e"
"Alaska","0.6","a","0.2","a","0.8","a","54.5","a","0.2","a","0.7","e"
"Arizona","3.8","a","0.5","a","4.3","a","370.0","a","3.3","a","7.3","e"
"Arkansas","0.8","a","0.2","a","1.0","a","130.8","a","0.7","a","3.0","e"
"California","17.5","a","28.9","a","46.4","a","3,052.7","a","3.6","a","39.4","e"
"Colorado","1.4","a","1.9","a","3.3","a","392.2","a","4.2","a","5.8","e"
"Connecticut","1.9","a","0.7","a","2.7","a","288.1","a","0.6","a","3.6","e"
"Delaware","0.5","a","0.1","a","0.6","a","77.0","a","4.1","a","1.0","e"
"District of Columbia","0.0","a","2.8","a","2.8","a","144.4","a","0.9","a","0.7","e"
"Florida","3.0","a","3.4","a","6.3","a","1,116.4","a","3.0","a","21.5","e"
"Georgia","2.0","a","0.9","a","2.9","a","637.8","a","3.5","a","10.6","e"
"Hawaii","0.8","a","0.2","a","1.0","a","91.8","a","-0.9","a","1.4","e"
"Idaho","0.6","a","0.1","a","0.7","a","82.4","a","4.0","a","1.8","e"
"Illinois","5.2","a","2.6","a","7.8","a","890.5","a","0.5","a","12.7","e"
"Indiana","2.2","a","0.8","a","3.0","a","381.0","a","0.4","a","6.7","e"
"Iowa","1.2","a","0.2","a","1.4","a","194.3","a","0.0","a","3.2","e"
"Kansas","0.9","a","0.2","a","1.1","a","176.7","a","0.8","a","2.9","e"
"Kentucky","1.7","a","0.3","a","2.0","a","216.1","a","1.7","a","4.5","e"
"Louisiana","1.1","a","0.6","a","1.7","a","254.6","a","-0.1","a","4.7","e"
"Maine","1.3","a","0.2","a","1.5","a","68.5","a","2.2","a","1.3","e"
"Maryland","3.2","a","1.4","a","4.6","a","421.6","a","0.3","a","6.1","e"
"Massachusetts","5.3","a","1.8","a","7.1","a","593.3","a","2.9","a","6.9","e"
"Michigan","4.8","a","1.2","a","6.0","a","531.4","a","-0.1","a","10.0","e"
"Minnesota","2.8","a","2.5","a","5.3","a","383.0","a","0.5","a","5.6","e"
"Mississippi","0.5","a","0.3","a","0.8","a","114.7","a","0.4","a","3.0","e"
"Missouri","0.9","a","0.7","a","1.6","a","332.3","a","1.7","a","6.1","e"
"Montana","0.3","a","0.1","a","0.4","a","51.8","a","0.4","a","1.1","e"
"Nebraska","0.8","a","0.4","a","1.2","a","131.4","a","1.2","a","1.9","e"
"Nevada","0.8","a","0.7","a","1.4","a","181.7","a","4.1","a","3.1","e"
"New Hampshire","0.6","a","0.4","a","1.0","a","87.5","a","2.1","a","1.4","e"
"New Jersey","5.1","a","1.6","a","6.8","a","639.4","a","2.1","a","8.9","e"
"New Mexico","0.7","a","0.1","a","0.8","a","102.0","a","4.3","a","2.1","e"
"New York","3.8","a","19.9","a","23.7","a","1,777.8","a","2.5","a","19.5","e"
"North Carolina","1.0","a","3.0","a","4.0","a","595.7","a","2.1","a","10.5","e"
"North Dakota","0.4","a","0.1","a","0.5","a","59.0","a","0.6","a","0.8","e"
"Ohio","2.4","a","4.5","a","6.9","a","693.2","a","2.0","a","11.7","e"
"Oklahoma","1.6","a","0.4","a","1.9","a","203.7","a","1.7","a","4.0","e"
"Oregon","5.4","a","0.7","a","6.1","a","246.6","a","2.0","a","4.2","e"
"Pennsylvania","5.7","a","5.2","a","10.9","a","799.7","a","1.7","a","12.8","e"
"Rhode Island","0.8","a","0.2","a","1.0","a","61.3","a","1.4","a","1.1","e"
"South Carolina","1.3","a","0.4","a","1.7","a","244.7","a","2.3","a","5.2","e"
"South Dakota","0.4","a","0.1","a","0.5","a","53.9","a","0.4","a","0.9","e"
"Tennessee","2.9","a","0.7","a","3.6","a","376.9","a","2.0","a","6.8","e"
"Texas","7.4","a","3.2","a","10.6","a","1,864.0","a","3.2","a","29.0","e"
"All states combined","115.6","a","102.4","a","218.0","a","21,381.0","a","2.3","a","328.3","e"
"Utah","1.2","a","0.5","a","1.7","a","195.1","a","4.8","a","3.2","e"
"Vermont","0.8","a","0.1","a","0.9","a","34.1","a","1.0","a","0.6","e"
"Virginia","1.5","a","2.5","a","4.0","a","554.3","a","2.0","a","8.6","e"
"Washington","2.7","a","1.8","a","4.5","a","597.9","a","3.9","a","7.6","e"
"West Virginia","0.9","a","0.1","a","1.1","a","79.1","a","-0.8","a","1.8","e"
"Wisconsin","1.5","a","2.4","a","4.0","a","344.7","a","1.5","a","5.8","e"
"Wyoming","0.3","a","0.0","a","0.3","a","39.6","a","1.7","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
